Clave Municipio,"Clave 
Estado",Región,Estado,Municipio,Tipo de población,saving_deposits,sight_deposits,term_deposits,debit_deposits
5032,5,Noreste,Coahuila,San Juan de Sabinas,Semi-urbano,287,"1,042",11,26
5033,5,Noreste,Coahuila,San Pedro,Urbano,458,"1,222",94,0
5034,5,Noreste,Coahuila,Sierra Mojada,En Transición,27,13,0,0
5035,5,Noreste,Coahuila,Torreón,Semi-metrópoli,"17,603","30,398","3,373",567
5036,5,Noreste,Coahuila,Viesca,Semi-urbano,369,354,79,0
5037,5,Noreste,Coahuila,Villa Unión,En Transición,690,253,19,0
5038,5,Noreste,Coahuila,Zaragoza,En Transición,"3,540","1,609",250,0
6001,6,Occidente y Bajío,Colima,Armería,Semi-urbano,"9,002","4,202",425,268
6002,6,Occidente y Bajío,Colima,Colima,Urbano,"48,012","13,768","2,914","1,064"
6003,6,Occidente y Bajío,Colima,Comala,Semi-urbano,"8,726","4,220",518,441
6004,6,Occidente y Bajío,Colima,Coquimatlán,Semi-urbano,"5,046","1,708",178,74
6005,6,Occidente y Bajío,Colima,Cuauhtémoc,Semi-urbano,"6,369","6,473",518,96
6006,6,Occidente y Bajío,Colima,Ixtlahuacán,En Transición,"1,579",491,46,15
6007,6,Occidente y Bajío,Colima,Manzanillo,Urbano,"29,562","24,586","2,297",336
6008,6,Occidente y Bajío,Colima,Minatitlán,En Transición,"4,545","4,551",437,168
6009,6,Occidente y Bajío,Colima,Tecomán,Urbano,"45,508","17,185","1,969","1,729"
6010,6,Occidente y Bajío,Colima,Villa de Álvarez,Urbano,"49,706","16,631","2,903","1,471"
7001,7,Sur,Chiapas,Acacoyagua,Semi-urbano,758,713,111,0
7002,7,Sur,Chiapas,Acala,Semi-urbano,48,"1,941",75,0
7003,7,Sur,Chiapas,Acapetahua,Semi-urbano,561,"1,646",129,0
7004,7,Sur,Chiapas,Altamirano,Semi-urbano,16,"1,095",6,0
7005,7,Sur,Chiapas,Amatán,Semi-urbano,8,235,3,0
7006,7,Sur,Chiapas,Amatenango de la Frontera,Semi-urbano,34,739,30,1
7007,7,Sur,Chiapas,Amatenango del Valle,En Transición,30,122,2,0
7008,7,Sur,Chiapas,Angel Albino Corzo,Semi-urbano,483,856,40,0
7009,7,Sur,Chiapas,Arriaga,Semi-urbano,333,"3,434",265,4
7010,7,Sur,Chiapas,Bejucal de Ocampo,En Transición,4,21,0,0
7011,7,Sur,Chiapas,Bella Vista,Semi-urbano,19,293,17,0
7012,7,Sur,Chiapas,Berriozábal,Urbano,294,"1,681",139,1
7013,7,Sur,Chiapas,Bochil,Semi-urbano,8,"1,259",69,0
7014,7,Sur,Chiapas,"Bosque, El",Semi-urbano,75,971,27,0
7015,7,Sur,Chiapas,Cacahoatán,Urbano,162,"2,065",192,1
7016,7,Sur,Chiapas,Catazajá,Semi-urbano,15,662,14,0
7017,7,Sur,Chiapas,Cintalapa,Urbano,112,"2,977",303,1
7018,7,Sur,Chiapas,Coapilla,En Transición,8,373,6,0
7019,7,Sur,Chiapas,Comitán de Domínguez,Urbano,"7,854","11,034","2,420",25
7020,7,Sur,Chiapas,"Concordia, La",Semi-urbano,323,"1,438",67,0
7021,7,Sur,Chiapas,Copainalá,Semi-urbano,36,"1,328",31,0
7022,7,Sur,Chiapas,Chalchihuitán,Semi-urbano,4,4,1,0
7023,7,Sur,Chiapas,Chamula,Urbano,16,85,6,0
7024,7,Sur,Chiapas,Chanal,En Transición,6,74,1,0
7025,7,Sur,Chiapas,Chapultenango,En Transición,2,39,1,0
7026,7,Sur,Chiapas,Chenalhó,Semi-urbano,5,42,0,0
7027,7,Sur,Chiapas,Chiapa de Corzo,Urbano,"1,892","6,361",822,5
7028,7,Sur,Chiapas,Chiapilla,En Transición,9,249,26,0
7029,7,Sur,Chiapas,Chicoasén,En Transición,1,62,6,0
7030,7,Sur,Chiapas,Chicomuselo,Semi-urbano,61,947,25,0
7031,7,Sur,Chiapas,Chilón,Urbano,38,901,22,0
7032,7,Sur,Chiapas,Escuintla,Semi-urbano,"1,037","1,017",197,1
7033,7,Sur,Chiapas,Francisco León,En Transición,9,130,0,0
7034,7,Sur,Chiapas,Frontera Comalapa,Urbano,252,"2,443",118,0
7035,7,Sur,Chiapas,Frontera Hidalgo,En Transición,35,488,183,0
7036,7,Sur,Chiapas,"Grandeza, La",En Transición,2,54,0,0
7037,7,Sur,Chiapas,Huehuetán,Semi-urbano,177,"1,015",116,0
7038,7,Sur,Chiapas,Huixtán,Semi-urbano,4,99,0,0
7039,7,Sur,Chiapas,Huitiupán,Semi-urbano,191,881,15,0
7040,7,Sur,Chiapas,Huixtla,Urbano,"1,326","2,601",216,1
7041,7,Sur,Chiapas,"Independencia, La",Semi-urbano,157,854,23,0
7042,7,Sur,Chiapas,Ixhuatán,En Transición,1,38,8,0
7043,7,Sur,Chiapas,Ixtacomitán,En Transición,5,195,67,0
7044,7,Sur,Chiapas,Ixtapa,Semi-urbano,264,"1,014",108,0
7045,7,Sur,Chiapas,Ixtapangajoya,En Transición,47,44,3,0
7046,7,Sur,Chiapas,Jiquipilas,Semi-urbano,34,"1,084",93,0
7047,7,Sur,Chiapas,Jitotol,Semi-urbano,4,252,9,0
7048,7,Sur,Chiapas,Juárez,Semi-urbano,50,615,56,0
7049,7,Sur,Chiapas,Larráinzar,Semi-urbano,15,465,1,0
7050,7,Sur,Chiapas,"Libertad, La",En Transición,6,217,11,0
7051,7,Sur,Chiapas,Mapastepec,Semi-urbano,"2,729","2,722",320,1
7052,7,Sur,Chiapas,"Margaritas, Las",Urbano,"1,016","2,414",209,0
7053,7,Sur,Chiapas,Mazapa de Madero,En Transición,16,58,6,0
7054,7,Sur,Chiapas,Mazatán,Semi-urbano,"2,054","2,048",306,2
7055,7,Sur,Chiapas,Metapa,En Transición,21,262,43,1
7056,7,Sur,Chiapas,Mitontic,En Transición,1,9,0,0
7057,7,Sur,Chiapas,Motozintla,Urbano,450,"1,581",72,5
7058,7,Sur,Chiapas,Nicolás Ruíz,Rural,7,156,4,0
7059,7,Sur,Chiapas,Ocosingo,Urbano,"7,476","11,123","1,576",0
7060,7,Sur,Chiapas,Ocotepec,En Transición,0,95,0,0
7061,7,Sur,Chiapas,Ocozocoautla de Espinosa,Urbano,"8,047","10,066","2,077",0
7062,7,Sur,Chiapas,Ostuacán,Semi-urbano,12,28,1,0
7063,7,Sur,Chiapas,Osumacinta,Rural,1,14,23,0
7064,7,Sur,Chiapas,Oxchuc,Urbano,16,518,8,0
7065,7,Sur,Chiapas,Palenque,Urbano,243,"2,664",125,2
7066,7,Sur,Chiapas,Pantelhó,Semi-urbano,3,19,0,0
7067,7,Sur,Chiapas,Pantepec,En Transición,0,260,1,0
7068,7,Sur,Chiapas,Pichucalco,Semi-urbano,81,922,104,5
7069,7,Sur,Chiapas,Pijijiapan,Urbano,"1,573","3,438",275,0
7070,7,Sur,Chiapas,"Porvenir, El",En Transición,42,151,1,0
7071,7,Sur,Chiapas,Villa Comaltitlán,Semi-urbano,353,"1,388",118,0
7072,7,Sur,Chiapas,Pueblo Nuevo Solistahuacán,Semi-urbano,7,270,5,0
7073,7,Sur,Chiapas,Rayón,En Transición,2,425,0,0
7074,7,Sur,Chiapas,Reforma,Semi-urbano,338,"2,356",195,0
7075,7,Sur,Chiapas,"Rosas, Las",Semi-urbano,"1,894","3,130",421,0
7076,7,Sur,Chiapas,Sabanilla,Semi-urbano,0,54,0,1
7077,7,Sur,Chiapas,Salto de Agua,Urbano,15,402,8,0
7078,7,Sur,Chiapas,San Cristóbal de las Casas,Urbano,"56,301","55,642","15,081",50
7079,7,Sur,Chiapas,San Fernando,Semi-urbano,56,"1,756",128,0
7080,7,Sur,Chiapas,Siltepec,Semi-urbano,59,181,9,0
7081,7,Sur,Chiapas,Simojovel,Urbano,362,"2,632",40,0
7082,7,Sur,Chiapas,Sitalá,Semi-urbano,0,9,0,0
7083,7,Sur,Chiapas,Socoltenango,Semi-urbano,25,583,46,0
7084,7,Sur,Chiapas,Solosuchiapa,En Transición,0,74,6,0
7085,7,Sur,Chiapas,Soyaló,En Transición,0,197,15,0
7086,7,Sur,Chiapas,Suchiapa,Semi-urbano,55,"1,177",42,0
7087,7,Sur,Chiapas,Suchiate,Semi-urbano,58,"1,541",245,0
7088,7,Sur,Chiapas,Sunuapa,Rural,1,19,2,0
7089,7,Sur,Chiapas,Tapachula,Semi-metrópoli,772,"12,006","2,455",116
7090,7,Sur,Chiapas,Tapalapa,Rural,0,41,0,0
7091,7,Sur,Chiapas,Tapilula,En Transición,41,173,14,0
7092,7,Sur,Chiapas,Tecpatán,Semi-urbano,237,"1,559",90,0
7093,7,Sur,Chiapas,Tenejapa,Semi-urbano,12,215,0,0
7094,7,Sur,Chiapas,Teopisca,Semi-urbano,"6,455","7,724",976,0
7096,7,Sur,Chiapas,Tila,Urbano,4,130,3,0
7097,7,Sur,Chiapas,Tonalá,Urbano,785,"7,363",300,13
7098,7,Sur,Chiapas,Totolapa,En Transición,22,180,8,0
7099,7,Sur,Chiapas,"Trinitaria, La",Urbano,57,"2,181",86,0
7100,7,Sur,Chiapas,Tumbalá,Semi-urbano,4,100,38,0
7101,7,Sur,Chiapas,Tuxtla Gutiérrez,Semi-metrópoli,"12,482","28,986","6,199",226
7102,7,Sur,Chiapas,Tuxtla Chico,Semi-urbano,139,"1,780",246,0
7103,7,Sur,Chiapas,Tuzantán,Semi-urbano,472,"1,179",88,0
7104,7,Sur,Chiapas,Tzimol,Semi-urbano,17,287,10,0
7105,7,Sur,Chiapas,Unión Juárez,Semi-urbano,19,539,41,0
7106,7,Sur,Chiapas,Venustiano Carranza,Urbano,161,"2,734",209,0
7107,7,Sur,Chiapas,Villa Corzo,Urbano,211,"2,830",142,0
7108,7,Sur,Chiapas,Villaflores,Urbano,"1,116","4,378",327,0
7109,7,Sur,Chiapas,Yajalón,Semi-urbano,15,309,39,0
7110,7,Sur,Chiapas,San Lucas,En Transición,11,239,17,0
7111,7,Sur,Chiapas,Zinacantán,Semi-urbano,31,771,6,0
7112,7,Sur,Chiapas,San Juan Cancuc,Semi-urbano,1,22,0,0
7113,7,Sur,Chiapas,Aldama,En Transición,3,1,0,1
7114,7,Sur,Chiapas,Benemérito de las Américas,Semi-urbano,2,0,0,0
7115,7,Sur,Chiapas,Maravilla Tenejapa,En Transición,5,25,1,0
7116,7,Sur,Chiapas,Marqués de Comillas,En Transición,0,1,0,0
7117,7,Sur,Chiapas,Montecristo de Guerrero,En Transición,34,156,15,0
7118,7,Sur,Chiapas,San Andrés Duraznal,En Transición,2,138,0,0
7119,7,Sur,Chiapas,Santiago El Pinar,Rural,0,1,0,0
7120,7,Sur,Chiapas,Capitán Luis Ángel Vidal,Rural,0,0,0,0
7121,7,Sur,Chiapas,Rincón Chamula San Pedro,En Transición,0,0,0,0
7122,7,Sur,Chiapas,El Parral,Semi-urbano,0,0,0,0
7123,7,Sur,Chiapas,Emiliano Zapata,En Transición,0,0,0,0
7124,7,Sur,Chiapas,Mezcalapa,Semi-urbano,0,0,0,0
8001,8,Noroeste,Chihuahua,Ahumada,En Transición,6,6,0,0
8002,8,Noroeste,Chihuahua,Aldama,Semi-urbano,230,124,42,0
8003,8,Noroeste,Chihuahua,Allende,En Transición,"1,258",221,47,0
8004,8,Noroeste,Chihuahua,Aquiles Serdán,Semi-urbano,170,49,9,0
8005,8,Noroeste,Chihuahua,Ascensión,Semi-urbano,6,4,0,78
8006,8,Noroeste,Chihuahua,Bachíniva,En Transición,"1,486",5,8,0
8007,8,Noroeste,Chihuahua,Balleza,Semi-urbano,85,23,3,0
8008,8,Noroeste,Chihuahua,Batopilas,En Transición,5,1,0,0
8009,8,Noroeste,Chihuahua,Bocoyna,Semi-urbano,"1,740",156,23,0
8010,8,Noroeste,Chihuahua,Buenaventura,Semi-urbano,77,12,0,0
8011,8,Noroeste,Chihuahua,Camargo,Semi-urbano,"10,957","2,961",425,51
8012,8,Noroeste,Chihuahua,Carichí,En Transición,171,12,11,0
8013,8,Noroeste,Chihuahua,Casas Grandes,En Transición,15,20,1,396
8014,8,Noroeste,Chihuahua,Coronado,Rural,271,73,12,0
8015,8,Noroeste,Chihuahua,Coyame del Sotol,Rural,0,7,0,0
8016,8,Noroeste,Chihuahua,"Cruz, La",Rural,754,210,43,0
8017,8,Noroeste,Chihuahua,Cuauhtémoc,Urbano,"8,713","1,785",520,13
8018,8,Noroeste,Chihuahua,Cusihuiriachi,En Transición,"1,199",13,18,0
8019,8,Noroeste,Chihuahua,Chihuahua,Semi-metrópoli,"25,799","7,425","7,039",796
8020,8,Noroeste,Chihuahua,Chínipas,En Transición,3,4,1,0
8021,8,Noroeste,Chihuahua,Delicias,Urbano,"50,574","15,707","3,389",187
8022,8,Noroeste,Chihuahua,Dr. Belisario Domínguez,Rural,11,2,0,0
8023,8,Noroeste,Chihuahua,Galeana,En Transición,62,7,1,0
8024,8,Noroeste,Chihuahua,Santa Isabel,Rural,115,6,2,0
8025,8,Noroeste,Chihuahua,Gómez Farías,En Transición,"1,506",7,10,0
8026,8,Noroeste,Chihuahua,Gran Morelos,Rural,203,4,7,0
8027,8,Noroeste,Chihuahua,Guachochi,Urbano,41,23,10,0
8028,8,Noroeste,Chihuahua,Guadalupe,Rural,1,6,0,0
8029,8,Noroeste,Chihuahua,Guadalupe Y Calvo,Urbano,62,20,4,0
8030,8,Noroeste,Chihuahua,Guazapares,En Transición,3,1,0,0
8031,8,Noroeste,Chihuahua,Guerrero,Semi-urbano,"3,939",73,55,0
8032,8,Noroeste,Chihuahua,Hidalgo del Parral,Urbano,"21,190","3,866","1,248",145
8033,8,Noroeste,Chihuahua,Huejotitán,Rural,11,5,2,0
8034,8,Noroeste,Chihuahua,Ignacio Zaragoza,En Transición,"2,207",6,0,1
8035,8,Noroeste,Chihuahua,Janos,En Transición,5,7,0,0
8036,8,Noroeste,Chihuahua,Jiménez,Semi-urbano,"8,764","2,859",641,36
8037,8,Noroeste,Chihuahua,Juárez,Metrópoli,783,"19,399","3,786",1
8038,8,Noroeste,Chihuahua,Julimes,Rural,"3,109","1,240",195,5
8039,8,Noroeste,Chihuahua,López,Rural,693,194,20,0
8040,8,Noroeste,Chihuahua,Madera,Semi-urbano,927,70,564,2
8041,8,Noroeste,Chihuahua,Maguarichi,Rural,26,0,0,0
8042,8,Noroeste,Chihuahua,Manuel Benavides,Rural,0,0,0,0
8043,8,Noroeste,Chihuahua,Matachí,Rural,471,3,0,0
8044,8,Noroeste,Chihuahua,Matamoros,Rural,415,62,41,0
8045,8,Noroeste,Chihuahua,Meoqui,Semi-urbano,"15,364","4,630",683,70
8046,8,Noroeste,Chihuahua,Morelos,En Transición,1,0,0,0
8047,8,Noroeste,Chihuahua,Moris,Rural,8,3,6,0
8048,8,Noroeste,Chihuahua,Namiquipa,Semi-urbano,"6,339",13,66,0
8049,8,Noroeste,Chihuahua,Nonoava,Rural,4,2,0,0
8050,8,Noroeste,Chihuahua,Nuevo Casas Grandes,Urbano,50,113,20,44
8051,8,Noroeste,Chihuahua,Ocampo,En Transición,22,3,1,0
8052,8,Noroeste,Chihuahua,Ojinaga,Semi-urbano,21,91,4,11
8053,8,Noroeste,Chihuahua,Praxedis G. Guerrero,En Transición,0,3,0,0
8054,8,Noroeste,Chihuahua,Riva Palacio,En Transición,414,6,5,0
8055,8,Noroeste,Chihuahua,Rosales,Semi-urbano,"6,663","1,997",429,13
8056,8,Noroeste,Chihuahua,Rosario,Rural,12,3,2,0
8057,8,Noroeste,Chihuahua,San Francisco de Borja,Rural,2,1,0,0
8058,8,Noroeste,Chihuahua,San Francisco de Conchos,Rural,535,179,13,0
8059,8,Noroeste,Chihuahua,San Francisco del Oro,En Transición,402,62,36,0
8060,8,Noroeste,Chihuahua,Santa Bárbara,En Transición,754,140,36,0
8061,8,Noroeste,Chihuahua,Satevó,Rural,864,6,25,0
8062,8,Noroeste,Chihuahua,Saucillo,Semi-urbano,"13,360","5,050",706,30
8063,8,Noroeste,Chihuahua,Temósachi,En Transición,828,5,0,0
8064,8,Noroeste,Chihuahua,"Tule, El",Rural,5,2,2,0
8065,8,Noroeste,Chihuahua,Urique,Semi-urbano,29,9,3,0
8066,8,Noroeste,Chihuahua,Uruachi,En Transición,3,1,0,0
8067,8,Noroeste,Chihuahua,Valle de Zaragoza,Rural,83,22,4,0
9002,9,Ciudad de México,Ciudad de México,Azcapotzalco,Semi-metrópoli,"4,293","4,099","4,334",613
9003,9,Ciudad de México,Ciudad de México,Coyoacán,Semi-metrópoli,"3,831","5,818","10,241",817
9004,9,Ciudad de México,Ciudad de México,Cuajimalpa de Morelos,Urbano,"1,952","1,426","6,686",0
9005,9,Ciudad de México,Ciudad de México,Gustavo A. Madero,Metrópoli,"20,106","10,092","13,306",549
9006,9,Ciudad de México,Ciudad de México,Iztacalco,Semi-metrópoli,"2,183","2,824","3,726",0
9007,9,Ciudad de México,Ciudad de México,Iztapalapa,Metrópoli,"55,387","11,456","12,265","2,000"
9008,9,Ciudad de México,Ciudad de México,"Magdalena Contreras, La",Urbano,"2,875","1,604","2,809",0
9009,9,Ciudad de México,Ciudad de México,Milpa Alta,Urbano,"6,030","1,366",580,26
9010,9,Ciudad de México,Ciudad de México,Álvaro Obregón,Semi-metrópoli,"69,071","5,962","13,390",149
9011,9,Ciudad de México,Ciudad de México,Tláhuac,Semi-metrópoli,"15,205","4,359","3,044","1,055"
9012,9,Ciudad de México,Ciudad de México,Tlalpan,Semi-metrópoli,"9,317","5,165","7,090",253
9013,9,Ciudad de México,Ciudad de México,Xochimilco,Semi-metrópoli,"7,181","4,417","3,165",218
9014,9,Ciudad de México,Ciudad de México,Benito Juárez,Semi-metrópoli,"32,730","5,383","23,146","5,035"
9015,9,Ciudad de México,Ciudad de México,Cuauhtémoc,Semi-metrópoli,"4,813","6,829","13,194","7,248"
9016,9,Ciudad de México,Ciudad de México,Miguel Hidalgo,Semi-metrópoli,"1,464","5,925","20,372","40,427"
9017,9,Ciudad de México,Ciudad de México,Venustiano Carranza,Semi-metrópoli,"7,516","3,379","4,791",261
10001,10,Noroeste,Durango,Canatlán,Semi-urbano,"2,725","3,067",395,251
10002,10,Noroeste,Durango,Canelas,Rural,7,29,13,0
10003,10,Noroeste,Durango,Coneto de Comonfort,Rural,54,282,117,0
10004,10,Noroeste,Durango,Cuencamé,Semi-urbano,562,"1,308",59,0
10005,10,Noroeste,Durango,Durango,Semi-metrópoli,"139,116","89,050","11,140","5,387"
10006,10,Noroeste,Durango,General Simón Bolívar,En Transición,67,65,16,0
10007,10,Noroeste,Durango,Gómez Palacio,Semi-metrópoli,"20,624","19,851","2,064",138
10008,10,Noroeste,Durango,Guadalupe Victoria,Semi-urbano,"1,358","3,012",267,99
10009,10,Noroeste,Durango,Guanaceví,En Transición,219,20,9,0
10010,10,Noroeste,Durango,Hidalgo,Rural,116,95,10,0
10011,10,Noroeste,Durango,Indé,Rural,195,25,4,0
10012,10,Noroeste,Durango,Lerdo,Urbano,"11,776","7,487",744,138
10013,10,Noroeste,Durango,Mapimí,Semi-urbano,"4,850","2,512",463,53
10014,10,Noroeste,Durango,Mezquital,Semi-urbano,134,223,25,0
10015,10,Noroeste,Durango,Nazas,En Transición,235,681,76,0
10016,10,Noroeste,Durango,Nombre de Dios,Semi-urbano,"2,348","3,346",616,494
10017,10,Noroeste,Durango,Ocampo,En Transición,264,56,7,0
10018,10,Noroeste,Durango,"Oro, El",En Transición,184,73,13,0
10019,10,Noroeste,Durango,Otáez,Rural,190,5,1,0
10020,10,Noroeste,Durango,Pánuco de Coronado,En Transición,404,416,13,0
10021,10,Noroeste,Durango,Peñón Blanco,En Transición,239,107,4,0
10022,10,Noroeste,Durango,Poanas,Semi-urbano,"1,296","3,406",549,0
10023,10,Noroeste,Durango,Pueblo Nuevo,Urbano,"5,700","3,710",113,0
10024,10,Noroeste,Durango,Rodeo,En Transición,626,"2,435",781,0
10025,10,Noroeste,Durango,San Bernardo,Rural,23,11,6,0
10026,10,Noroeste,Durango,San Dimas,Semi-urbano,86,"2,499",179,157
10027,10,Noroeste,Durango,San Juan de Guadalupe,En Transición,27,2,1,0
10028,10,Noroeste,Durango,San Juan del Río,En Transición,345,233,49,0
10029,10,Noroeste,Durango,San Luis del Cordero,Rural,54,118,9,0
10030,10,Noroeste,Durango,San Pedro del Gallo,Rural,180,99,27,0
10031,10,Noroeste,Durango,Santa Clara,En Transición,65,15,2,0
10032,10,Noroeste,Durango,Santiago Papasquiaro,Semi-urbano,"3,190",480,428,15
10033,10,Noroeste,Durango,Súchil,En Transición,508,"1,554",294,0
10034,10,Noroeste,Durango,Tamazula,Semi-urbano,8,73,2,0
10035,10,Noroeste,Durango,Tepehuanes,En Transición,477,28,149,0
10036,10,Noroeste,Durango,Tlahualilo,Semi-urbano,"1,186",864,59,0
10037,10,Noroeste,Durango,Topia,En Transición,3,7,3,0
10038,10,Noroeste,Durango,Vicente Guerrero,Semi-urbano,"2,243","10,625","2,545",0
10039,10,Noroeste,Durango,Nuevo Ideal,Semi-urbano,"2,283","6,709","1,941",0
11001,11,Occidente y Bajío,Guanajuato,Abasolo,Urbano,"31,052","13,743","3,815",30
11002,11,Occidente y Bajío,Guanajuato,Acámbaro,Urbano,"19,360","18,505","1,952",513
11003,11,Occidente y Bajío,Guanajuato,San Miguel de Allende,Urbano,"42,788","45,084","6,311","1,073"
11004,11,Occidente y Bajío,Guanajuato,Apaseo El Alto,Urbano,"59,221","22,535","5,817","2,936"
11005,11,Occidente y Bajío,Guanajuato,Apaseo El Grande,Urbano,"47,818","22,996","4,724","1,037"
11006,11,Occidente y Bajío,Guanajuato,Atarjea,En Transición,"2,072",800,140,41
11007,11,Occidente y Bajío,Guanajuato,Celaya,Semi-metrópoli,"207,937","174,787","25,622","3,959"
11008,11,Occidente y Bajío,Guanajuato,Manuel Doblado,Semi-urbano,"24,073","14,824","1,625",46
11009,11,Occidente y Bajío,Guanajuato,Comonfort,Urbano,"39,967","14,299","4,028",19
11010,11,Occidente y Bajío,Guanajuato,Coroneo,En Transición,"8,585","3,916","19,035",685
11011,11,Occidente y Bajío,Guanajuato,Cortazar,Urbano,"36,536","28,829","3,725","1,359"
11012,11,Occidente y Bajío,Guanajuato,Cuerámaro,Semi-urbano,"11,751","7,064","1,502",24
11013,11,Occidente y Bajío,Guanajuato,Doctor Mora,Semi-urbano,"13,919","7,454","4,010","3,307"
11014,11,Occidente y Bajío,Guanajuato,Dolores Hidalgo,Urbano,"41,625","18,593","6,027",66
